league,fixture_id,datetime,home_team,away_team,referee,first_home_goals,first_away_goals,match_home_goals,match_away_goals,round,time,date,season,match_winner,under_over,advice,goals_home,goals_away,home_pred,draw_pred,away_pred,home_last5_forme,home_last5_att,home_last5_def,home_last5_goals,home_last5_goals_avg,home_last5_goals_against,home_last5_goals_against_avg,home_matches_played_home,home_matches_played_away,home_matches_played_total,home_matches_won_home,home_matches_won_away,home_matches_won_total,home_matches_draw_home,home_matches_draw_away,home_matches_draw_total,home_matches_lost_home,home_matches_lost_away,home_matches_lost_total,home_goals_fav_home,home_goals_fav_away,home_goals_fav_total,home_goals_ag_home,home_goals_ag_away,home_goals_ag_total,home_goalsavg_fav_home,home_goalsavg_fav_away,home_goalsavg_fav_total,home_goalsavg_ag_home,home_goalsavg_ag_away,home_goalsavg_ag_total,away_last5_forme,away_last5_att,away_last5_def,away_last5_goals,away_last5_goals_avg,away_last5_goals_against,away_last5_goals_against_avg,away_matches_played_home,away_matches_played_away,away_matches_played_total,away_matches_won_home,away_matches_won_away,away_matches_won_total,away_matches_draw_home,away_matches_draw_away,away_matches_draw_total,away_matches_lost_home,away_matches_lost_away,away_matches_lost_total,away_goals_fav_home,away_goals_fav_away,away_goals_fav_total,away_goals_ag_home,away_goals_ag_away,away_goals_ag_total,away_goalsavg_fav_home,away_goalsavg_fav_away,away_goalsavg_fav_total,away_goalsavg_ag_home,away_goalsavg_ag_away,away_goalsavg_ag_total,last_h2h_home_home_total,last_h2h_away_home_total,last_h2h_total,last_h2h_home_won_home,last_h2h_home_won_away,last_h2h_home_won_total,last_h2h_away_won_home,last_h2h_away_won_away,last_h2h_away_won_total,last_h2h_draw_home_home,last_h2h_draw_away_home,last_h2h_draw_away_total,comparison_forme_home,comparison_forme_away,comparison_att_home,comparison_att_away,comparison_def_home,comparison_def_away,comparison_fishlaw_home,comparison_fishlaw_away,comparison_h2h_home,comparison_h2h_away,comparison_goalsh2h_home,comparison_goalsh2h_away,ball_possession_home,blocked_shots_home,corner_kicks_home,fouls_home,goalkeeper_saves_home,offsides_home,passes_%_home,passes_accurate_home,red_cards_home,shots_insidebox_home,shots_off_goal_home,shots_on_goal_home,shots_outsidebox_home,total_shots_home,total_passes_home,yellow_cards_home,ball_possession_away,blocked_shots_away,corner_kicks_away,fouls_away,goalkeeper_saves_away,offsides_away,passes_%_away,passes_accurate_away,red_cards_away,shots_insidebox_away,shots_off_goal_away,shots_on_goal_away,shots_outsidebox_away,total_shots_away,total_passes_away,yellow_cards_away,country,advice_model,winner,total_goals,goals_classes,cum_ball_possession_home_total,cum_blocked_shots_home_total,cum_corner_kicks_home_total,cum_fouls_home_total,cum_goalkeeper_saves_home_total,cum_offsides_home_total,cum_passes_%_home_total,cum_passes_accurate_home_total,cum_red_cards_home_total,cum_shots_insidebox_home_total,cum_shots_off_goal_home_total,cum_shots_on_goal_home_total,cum_shots_outsidebox_home_total,cum_total_shots_home_total,cum_total_passes_home_total,cum_yellow_cards_home_total,cum_ball_possession_home_avg,cum_blocked_shots_home_avg,cum_corner_kicks_home_avg,cum_fouls_home_avg,cum_goalkeeper_saves_home_avg,cum_offsides_home_avg,cum_passes_%_home_avg,cum_passes_accurate_home_avg,cum_red_cards_home_avg,cum_shots_insidebox_home_avg,cum_shots_off_goal_home_avg,cum_shots_on_goal_home_avg,cum_shots_outsidebox_home_avg,cum_total_shots_home_avg,cum_total_passes_home_avg,cum_yellow_cards_home_avg,cum_ball_possession_home_by_minute,cum_blocked_shots_home_by_minute,cum_corner_kicks_home_by_minute,cum_fouls_home_by_minute,cum_goalkeeper_saves_home_by_minute,cum_offsides_home_by_minute,cum_passes_%_home_by_minute,cum_passes_accurate_home_by_minute,cum_red_cards_home_by_minute,cum_shots_insidebox_home_by_minute,cum_shots_off_goal_home_by_minute,cum_shots_on_goal_home_by_minute,cum_shots_outsidebox_home_by_minute,cum_total_shots_home_by_minute,cum_total_passes_home_by_minute,cum_yellow_cards_home_by_minute,cum_ball_possession_away_total,cum_blocked_shots_away_total,cum_corner_kicks_away_total,cum_fouls_away_total,cum_goalkeeper_saves_away_total,cum_offsides_away_total,cum_passes_%_away_total,cum_passes_accurate_away_total,cum_red_cards_away_total,cum_shots_insidebox_away_total,cum_shots_off_goal_away_total,cum_shots_on_goal_away_total,cum_shots_outsidebox_away_total,cum_total_shots_away_total,cum_total_passes_away_total,cum_yellow_cards_away_total,cum_ball_possession_away_avg,cum_blocked_shots_away_avg,cum_corner_kicks_away_avg,cum_fouls_away_avg,cum_goalkeeper_saves_away_avg,cum_offsides_away_avg,cum_passes_%_away_avg,cum_passes_accurate_away_avg,cum_red_cards_away_avg,cum_shots_insidebox_away_avg,cum_shots_off_goal_away_avg,cum_shots_on_goal_away_avg,cum_shots_outsidebox_away_avg,cum_total_shots_away_avg,cum_total_passes_away_avg,cum_yellow_cards_away_avg,cum_ball_possession_away_by_minute,cum_blocked_shots_away_by_minute,cum_corner_kicks_away_by_minute,cum_fouls_away_by_minute,cum_goalkeeper_saves_away_by_minute,cum_offsides_away_by_minute,cum_passes_%_away_by_minute,cum_passes_accurate_away_by_minute,cum_red_cards_away_by_minute,cum_shots_insidebox_away_by_minute,cum_shots_off_goal_away_by_minute,cum_shots_on_goal_away_by_minute,cum_shots_outsidebox_away_by_minute,cum_total_shots_away_by_minute,cum_total_passes_away_by_minute,cum_yellow_cards_away_by_minute,goals_home/goals_away,home_pred/away_pred,home_last5_forme/away_last5_forme,home_last5_att/away_last5_att,home_last5_def/away_last5_def,home_last5_goals/away_last5_goals,home_last5_goals_avg/away_last5_goals_avg,home_last5_goals_against/away_last5_goals_against,home_last5_goals_against_avg/away_last5_goals_against_avg,home_matches_played_home/home_matches_played_away,home_matches_played_total/away_matches_played_total,home_matches_won_home/home_matches_won_away,home_matches_won_total/away_matches_won_total,home_matches_draw_home/home_matches_draw_away,home_matches_draw_total/away_matches_draw_total,home_matches_lost_home/home_matches_lost_away,home_matches_lost_total/away_matches_lost_total,home_goals_fav_home/home_goals_fav_away,home_goals_fav_total/away_goals_fav_total,home_goals_ag_home/home_goals_ag_away,home_goals_ag_total/away_goals_ag_total,home_goalsavg_fav_home/home_goalsavg_fav_away,home_goalsavg_fav_total/away_goalsavg_fav_total,home_goalsavg_ag_home/home_goalsavg_ag_away,home_goalsavg_ag_total/away_goalsavg_ag_total,last_h2h_home_home_total/last_h2h_away_home_total,last_h2h_home_won_home/last_h2h_home_won_away,last_h2h_home_won_total/last_h2h_away_won_total,last_h2h_draw_home_home/last_h2h_draw_away_home,comparison_forme_home/comparison_forme_away,comparison_att_home/comparison_att_away,comparison_def_home/comparison_def_away,comparison_fishlaw_home/comparison_fishlaw_away,comparison_h2h_home/comparison_h2h_away,comparison_goalsh2h_home/comparison_goalsh2h_away,cum_ball_possession_home_total/cum_ball_possession_away_total,cum_blocked_shots_home_total/cum_blocked_shots_away_total,cum_corner_kicks_home_total/cum_corner_kicks_away_total,cum_fouls_home_total/cum_fouls_away_total,cum_goalkeeper_saves_home_total/cum_goalkeeper_saves_away_total,cum_offsides_home_total/cum_offsides_away_total,cum_passes_%_home_total/cum_passes_%_away_total,cum_passes_accurate_home_total/cum_passes_accurate_away_total,cum_red_cards_home_total/cum_red_cards_away_total,cum_shots_insidebox_home_total/cum_shots_insidebox_away_total,cum_shots_off_goal_home_total/cum_shots_off_goal_away_total,cum_shots_on_goal_home_total/cum_shots_on_goal_away_total,cum_shots_outsidebox_home_total/cum_shots_outsidebox_away_total,cum_total_shots_home_total/cum_total_shots_away_total,cum_total_passes_home_total/cum_total_passes_away_total,cum_yellow_cards_home_total/cum_yellow_cards_away_total,cum_ball_possession_home_avg/cum_ball_possession_away_avg,cum_blocked_shots_home_avg/cum_blocked_shots_away_avg,cum_corner_kicks_home_avg/cum_corner_kicks_away_avg,cum_fouls_home_avg/cum_fouls_away_avg,cum_goalkeeper_saves_home_avg/cum_goalkeeper_saves_away_avg,cum_offsides_home_avg/cum_offsides_away_avg,cum_passes_%_home_avg/cum_passes_%_away_avg,cum_passes_accurate_home_avg/cum_passes_accurate_away_avg,cum_red_cards_home_avg/cum_red_cards_away_avg,cum_shots_insidebox_home_avg/cum_shots_insidebox_away_avg,cum_shots_off_goal_home_avg/cum_shots_off_goal_away_avg,cum_shots_on_goal_home_avg/cum_shots_on_goal_away_avg,cum_shots_outsidebox_home_avg/cum_shots_outsidebox_away_avg,cum_total_shots_home_avg/cum_total_shots_away_avg,cum_total_passes_home_avg/cum_total_passes_away_avg,cum_yellow_cards_home_avg/cum_yellow_cards_away_avg,cum_ball_possession_home_by_minute/cum_ball_possession_away_by_minute,cum_blocked_shots_home_by_minute/cum_blocked_shots_away_by_minute,cum_corner_kicks_home_by_minute/cum_corner_kicks_away_by_minute,cum_fouls_home_by_minute/cum_fouls_away_by_minute,cum_goalkeeper_saves_home_by_minute/cum_goalkeeper_saves_away_by_minute,cum_offsides_home_by_minute/cum_offsides_away_by_minute,cum_passes_%_home_by_minute/cum_passes_%_away_by_minute,cum_passes_accurate_home_by_minute/cum_passes_accurate_away_by_minute,cum_red_cards_home_by_minute/cum_red_cards_away_by_minute,cum_shots_insidebox_home_by_minute/cum_shots_insidebox_away_by_minute,cum_shots_off_goal_home_by_minute/cum_shots_off_goal_away_by_minute,cum_shots_on_goal_home_by_minute/cum_shots_on_goal_away_by_minute,cum_shots_outsidebox_home_by_minute/cum_shots_outsidebox_away_by_minute,cum_total_shots_home_by_minute/cum_total_shots_away_by_minute,cum_total_passes_home_by_minute/cum_total_passes_away_by_minute,cum_yellow_cards_home_by_minute/cum_yellow_cards_away_by_minute,month,hour,year,weekday,public,comp_matches,comp_first_goals,comp_match_goals,comp_shots,comp_passes_accurate,comp_red_cards,comp_yellow_cards,comp_goalkeeper_saves,odd_home_wins,odd_draw,odd_away_wins,odd_over_1_5,odd_over_2_5,odd_over_3_5,odd_under_1_5,odd_under_2_5,odd_under_3_5,odd_home_or_draw,odd_home_or_away,odd_draw_or_away,PRED_MLP,PROB_L_MLP,PROB_V_MLP,PROB_E_MLP
Primeira Liga,212346,2020-06-11 20:15:00+00:00,Tondela,Aves,,1,0,1,0,26,20:15:00,2020-06-11,2019,1 N,,Double chance : Tondela or draws,-1.5,-1.5,0.45,0.45,0.1,0.13,0.17,0.5,2.0,0.4,6.0,1.2,12.0,13.0,25.0,1.0,5.0,6.0,5.0,3.0,8.0,6.0,5.0,11.0,7.0,13.0,20.0,15.0,15.0,30.0,0.6,1.0,0.8,1.3,1.2,1.2,0.07,0.17,0.17,2.0,0.4,10.0,2.0,13.0,12.0,25.0,3.0,1.0,4.0,0.0,1.0,1.0,10.0,10.0,20.0,11.0,12.0,23.0,21.0,28.0,49.0,0.8,1.0,0.9,1.6,2.3,2.0,2.0,3.0,5.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.67,0.33,0.5,0.5,0.63,0.63,0.49,0.51,0.71,0.29,0.64,0.36,0.56,0.0,6.0,21.0,1.0,4.0,0.83,406.0,0.0,4.0,2.0,4.0,2.0,6.0,487.0,3.0,0.44,4.0,6.0,17.0,1.0,1.0,0.81,292.0,1.0,5.0,7.0,1.0,7.0,12.0,362.0,2.0,,Double chance : home or draws,0,1.0,0.0,13.19,52.0,118.0,421.0,87.0,41.0,20.84,8006.0,2.0,141.0,113.0,81.0,105.0,246.0,10609.0,60.0,0.4548275862068966,1.7931034482758617,4.068965517241379,14.517241379310345,3.0,1.4137931034482758,0.7186206896551723,276.0689655172414,0.06896551724137931,4.862068965517241,3.896551724137931,2.7931034482758617,3.6206896551724137,8.482758620689655,365.82758620689657,2.0689655172413794,0.005053639846743296,0.019923371647509583,0.045210727969348656,0.16130268199233716,0.03333333333333333,0.015708812260536397,0.007984674329501914,3.067432950191571,0.0007662835249042147,0.054022988505747126,0.043295019157088124,0.03103448275862069,0.040229885057471264,0.0942528735632184,4.0647509578544065,0.02298850574712644,11.540000000000004,67.0,125.0,452.0,77.0,44.0,18.630000000000006,5454.0,6.0,126.0,132.0,71.0,144.0,270.0,7957.0,81.0,0.3979310344827587,2.310344827586208,4.310344827586206,15.586206896551724,2.655172413793104,1.5172413793103448,0.6424137931034484,188.06896551724137,0.206896551724138,4.344827586206897,4.5517241379310365,2.4482758620689653,4.965517241379311,9.310344827586208,274.37931034482756,2.7931034482758617,0.004421455938697319,0.025670498084291192,0.04789272030651341,0.1731800766283525,0.029501915708812262,0.01685823754789272,0.00713793103448276,2.089655172413793,0.002298850574712644,0.04827586206896552,0.05057471264367816,0.02720306513409961,0.05517241379310345,0.10344827586206896,3.0486590038314176,0.03103448275862069,1.0,4.5,1.857142857142857,1.0,2.9411764705882346,1.0,1.0,0.6,0.6,0.9230769230769232,1.0,0.2,1.5,1.6666666666666667,8.0,1.2,0.55,0.5384615384615384,0.8695652173913043,1.0,0.6122448979591837,0.6,0.8888888888888891,1.0833333333333337,0.6,0.6666666666666666,0.5,3.0,0.0,2.0303030303030303,1.0,1.0,0.96078431372549,2.4482758620689657,1.777777777777778,1.1429809358752163,0.7761194029850746,0.944,0.9314159292035398,1.12987012987013,0.9318181818181818,1.1186258722490603,1.467913458012468,0.3333333333333333,1.119047619047619,0.8560606060606061,1.1408450704225352,0.7291666666666666,0.9111111111111112,1.3332914414980521,0.7407407407407407,1.1429809358752163,0.7761194029850746,0.9439999999999998,0.9314159292035401,1.1298701298701297,0.931818181818182,1.1186258722490603,1.4679134580124682,0.3333333333333333,1.1190476190476188,0.8560606060606061,1.1408450704225352,0.7291666666666666,0.9111111111111112,1.3332914414980521,0.7407407407407408,1.1429809358752163,0.7761194029850746,0.944,0.9314159292035398,1.12987012987013,0.9318181818181818,1.1186258722490603,1.467913458012468,0.33333333333333337,1.119047619047619,0.8560606060606061,1.1408450704225352,0.7291666666666666,0.9111111111111112,1.3332914414980521,0.7407407407407407,6,20,2020,3,0,1.0,0.0,0.0,2.5,1.0381679389312977,,0.0,0.75,1.83,3.6,4.2,1.4,2.25,4.0,2.75,1.61,1.22,1.22,1.28,1.83,0,0.5977974231953425,0.09958687875219267,0.30261569805246485
Serie A,232802,2020-06-28 17:30:00+00:00,Napoli,Spal,,2,1,2,1,28,17:30:00,2020-06-28,2019,1 N,,Double chance : Napoli or draws,-2.5,-1.5,0.45,0.45,0.1,0.8,0.82,0.55,9.0,1.8,5.0,1.0,13.0,14.0,27.0,5.0,7.0,12.0,2.0,4.0,6.0,6.0,3.0,9.0,17.0,26.0,43.0,18.0,18.0,36.0,1.3,1.9,1.6,1.4,1.3,1.3,0.2,0.36,0.36,4.0,0.8,7.0,1.4,13.0,14.0,27.0,2.0,3.0,5.0,2.0,1.0,3.0,9.0,10.0,19.0,11.0,9.0,20.0,21.0,24.0,45.0,0.8,0.6,0.7,1.6,1.7,1.7,2.0,3.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8,0.2,0.69,0.31,0.58,0.58,0.7,0.3,0.93,0.07,0.67,0.33,0.67,3.0,4.0,15.0,2.0,2.0,0.92,690.0,,10.0,6.0,8.0,7.0,17.0,752.0,0.0,0.33,1.0,1.0,14.0,5.0,0.0,0.85,300.0,,3.0,2.0,3.0,3.0,6.0,355.0,3.0,,Double chance : home or draws,0,,,66.38,450.0,697.0,1148.0,273.0,218.0,95.79999999999998,61450.0,11.0,1097.0,810.0,683.0,850.0,1943.0,70288.0,206.0,0.5926785714285714,4.017857142857143,6.223214285714287,10.25,2.4375,1.946428571428572,0.8553571428571427,548.6607142857143,0.09821428571428573,9.794642857142858,7.232142857142858,6.098214285714287,7.5892857142857135,17.348214285714285,627.5714285714286,1.8392857142857144,0.00658531746031746,0.04464285714285714,0.0691468253968254,0.11388888888888887,0.02708333333333333,0.021626984126984126,0.00950396825396825,6.096230158730159,0.0010912698412698413,0.10882936507936508,0.08035714285714286,0.0677579365079365,0.08432539682539683,0.19275793650793646,6.973015873015872,0.020436507936507937,50.38999999999999,327.0,500.0,1431.0,387.0,173.0,83.27000000000002,33485.0,9.0,698.0,540.0,356.0,509.0,1223.0,41394.0,296.0,0.6146296296296296,4.166666666666667,6.453703703703702,10.629629629629632,2.5277777777777777,2.0185185185185186,0.8870370370370368,568.9814814814815,0.10185185185185183,10.157407407407408,7.5,6.324074074074074,7.87037037037037,17.990740740740737,650.8148148148148,1.907407407407408,0.006829218106995884,0.04629629629629629,0.07170781893004115,0.11810699588477365,0.028086419753086414,0.02242798353909465,0.0098559670781893,6.322016460905348,0.0011316872427983536,0.11286008230452675,0.08333333333333333,0.07026748971193415,0.0874485596707819,0.1998971193415638,7.231275720164609,0.02119341563786008,1.6666666666666667,4.5,4.0,2.2777777777777777,1.527777777777778,2.25,2.25,0.7142857142857143,0.7142857142857143,0.9285714285714286,1.0,0.7142857142857143,2.4,0.5,2.0,2.0,0.4736842105263158,0.6538461538461539,2.15,1.0,0.8,0.6842105263157895,2.2857142857142865,1.0769230769230769,0.7647058823529412,0.6666666666666666,1.0,0.0,0.0,4.0,2.225806451612903,1.0,2.333333333333333,13.285714285714285,2.0303030303030303,1.3173248660448502,1.3761467889908257,1.394,0.8022361984626135,0.7054263565891473,1.260115606936416,1.1504743605139902,1.8351500671942649,1.2222222222222223,1.5716332378223496,1.5,1.9185393258426968,1.6699410609037328,1.588716271463614,1.698023868193458,0.6959459459459459,0.9642857142857142,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857142,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857142,0.9642857142857142,0.9642857142857144,0.9642857142857142,0.9642857142857144,0.9642857142857142,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,0.9642857142857144,6,17,2020,6,0,0.3333333333333333,0.0,0.0,0.2894736842105263,0.3087866108786611,,1.0,0.2,1.29,5.75,9.0,1.22,1.67,2.63,4.33,2.2,1.5,1.07,1.14,3.5,0,0.48313837690113604,0.06040158685431751,0.45646003624454634
Bundesliga 2,209522,2020-06-28 13:30:00+00:00,Jahn Regensburg,Erzgebirge AUE,,1,1,1,2,34,13:30:00,2020-06-28,2019,1 N,,Double chance : Jahn Regensburg or draws,-2.5,-1.5,0.35,0.35,0.3,0.53,0.47,0.58,9.0,1.8,8.0,1.6,16.0,17.0,33.0,8.0,3.0,11.0,4.0,6.0,10.0,4.0,8.0,12.0,28.0,21.0,49.0,22.0,32.0,54.0,1.8,1.2,1.5,1.4,1.9,1.6,0.4,0.26,0.58,5.0,1.0,8.0,1.6,17.0,16.0,33.0,11.0,1.0,12.0,3.0,5.0,8.0,3.0,10.0,13.0,32.0,12.0,44.0,18.0,29.0,47.0,1.9,0.8,1.3,1.1,1.8,1.4,3.0,4.0,7.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,1.0,2.0,0.57,0.43,0.64,0.36,0.5,0.5,0.71,0.29,0.07,0.93,0.25,0.75,0.45,1.0,3.0,16.0,2.0,2.0,0.7,208.0,,14.0,13.0,6.0,6.0,20.0,296.0,4.0,0.55,5.0,4.0,15.0,5.0,3.0,0.77,281.0,,6.0,7.0,4.0,10.0,16.0,364.0,4.0,,Double chance : home or draws,2,,,47.71999999999999,379.0,573.0,1648.0,346.0,223.0,66.88999999999999,22330.0,8.0,901.0,640.0,485.0,606.0,1504.0,33689.0,253.0,0.4678431372549018,3.715686274509804,5.617647058823528,16.15686274509804,3.392156862745098,2.1862745098039214,0.6557843137254901,218.921568627451,0.0784313725490196,8.833333333333334,6.2745098039215685,4.754901960784314,5.9411764705882355,14.745098039215687,330.28431372549016,2.480392156862745,0.00519825708061002,0.04128540305010893,0.06241830065359477,0.17952069716775598,0.03769063180827887,0.024291938997821352,0.007286492374727668,2.4324618736383443,0.0008714596949891067,0.09814814814814816,0.06971677559912855,0.0528322440087146,0.06601307189542484,0.16383442265795206,3.6698257080610017,0.0275599128540305,46.96,268.0,401.0,1486.0,314.0,228.0,77.16,29707.0,11.0,655.0,524.0,439.0,576.0,1231.0,38827.0,246.0,0.4678431372549018,3.715686274509804,5.617647058823528,16.15686274509804,3.392156862745098,2.1862745098039214,0.6557843137254901,218.921568627451,0.0784313725490196,8.833333333333334,6.2745098039215685,4.754901960784314,5.9411764705882355,14.745098039215687,330.28431372549016,2.480392156862745,0.00519825708061002,0.04128540305010893,0.06241830065359477,0.17952069716775598,0.03769063180827887,0.024291938997821352,0.007286492374727668,2.4324618736383443,0.0008714596949891067,0.09814814814814816,0.06971677559912855,0.0528322440087146,0.06601307189542484,0.16383442265795206,3.6698257080610017,0.0275599128540305,1.6666666666666667,1.1666666666666667,1.325,1.807692307692308,1.0,1.8,1.8,1.0,1.0,0.9411764705882352,1.0,2.6666666666666665,0.9166666666666666,0.6666666666666666,1.25,0.5,0.9230769230769232,1.3333333333333333,1.1136363636363635,0.6875,1.1489361702127658,1.5,1.1538461538461535,0.7368421052631579,1.1428571428571432,0.75,,0.0,1.0,1.3255813953488371,1.777777777777778,1.0,2.4482758620689657,0.07526881720430108,0.3333333333333333,1.0161839863713795,1.4141791044776115,1.428927680798005,1.1090174966352624,1.1019108280254777,0.9780701754385964,0.8668999481596681,0.751674689467129,0.7272727272727273,1.3755725190839694,1.2213740458015268,1.1047835990888382,1.0520833333333333,1.2217709179528835,0.8676694053107373,1.0284552845528456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,13,2020,6,0,1.5,1.0,1.0,1.9090909090909092,1.8357142857142856,0.0,1.6,0.4444444444444444,2.0,3.6,3.5,1.16,1.53,2.37,5.0,2.4,1.53,1.28,1.28,1.72,1,0.21801706728736853,0.2498705856837121,0.5321123470289193
Primera Division,214320,2020-06-19 20:00:00+00:00,Sevilla,Barcelona,JosÃ© GonzÃ¡lez,0,0,0,0,30,20:00:00,2020-06-19,2019,N 2,,Double chance :  draws or Barcelona,-2.5,-2.5,0.1,0.45,0.45,0.73,1.0,0.55,11.0,2.2,5.0,1.0,14.0,15.0,29.0,7.0,7.0,14.0,5.0,4.0,9.0,2.0,4.0,6.0,21.0,21.0,42.0,13.0,17.0,30.0,1.5,1.4,1.4,0.9,1.1,1.0,0.8,1.0,0.82,12.0,2.4,2.0,0.4,15.0,14.0,29.0,14.0,6.0,20.0,1.0,3.0,4.0,0.0,5.0,5.0,47.0,22.0,69.0,12.0,19.0,31.0,3.1,1.6,2.4,0.8,1.4,1.1,12.0,12.0,24.0,2.0,0.0,2.0,11.0,7.0,18.0,3.0,1.0,4.0,0.48,0.52,0.48,0.52,0.29,0.29,0.49,0.51,0.2,0.8,0.28,0.72,0.35,1.0,2.0,17.0,3.0,2.0,0.79,307.0,,5.0,3.0,4.0,3.0,8.0,387.0,3.0,0.65,4.0,9.0,8.0,4.0,1.0,0.88,635.0,,4.0,2.0,4.0,6.0,10.0,722.0,2.0,,Double chance :  draws or away,1,0.0,0.0,20.67,110.0,225.0,486.0,71.0,83.0,28.88000000000001,15278.0,1.0,347.0,200.0,175.0,138.0,485.0,18330.0,95.0,0.5905714285714286,3.1428571428571432,6.428571428571429,13.885714285714286,2.0285714285714285,2.3714285714285714,0.8251428571428573,436.5142857142857,0.028571428571428567,9.914285714285716,5.7142857142857135,5.0,3.942857142857144,13.857142857142858,523.7142857142857,2.7142857142857144,0.0065619047619047645,0.03492063492063492,0.07142857142857142,0.15428571428571428,0.02253968253968254,0.026349206349206348,0.00916825396825397,4.85015873015873,0.0003174603174603174,0.11015873015873016,0.06349206349206349,0.05555555555555555,0.04380952380952381,0.15396825396825398,5.819047619047619,0.030158730158730163,23.36,107.0,164.0,392.0,73.0,81.0,30.870000000000005,21673.0,5.0,301.0,128.0,211.0,145.0,446.0,24497.0,90.0,0.6674285714285714,3.0571428571428565,4.685714285714286,11.2,2.085714285714286,2.3142857142857145,0.8820000000000001,619.2285714285714,0.14285714285714285,8.6,3.6571428571428566,6.0285714285714285,4.142857142857143,12.742857142857142,699.9142857142857,2.5714285714285716,0.007415873015873014,0.03396825396825397,0.05206349206349206,0.12444444444444445,0.023174603174603167,0.025714285714285717,0.0098,6.88031746031746,0.0015873015873015873,0.09555555555555556,0.040634920634920635,0.06698412698412698,0.046031746031746035,0.1415873015873016,7.776825396825397,0.028571428571428567,1.0,0.22222222222222224,0.9125,1.0,0.6707317073170732,0.9166666666666666,0.9166666666666669,2.5,2.5,0.9333333333333332,1.0,1.0,0.7,1.25,2.25,0.5,1.2,1.0,0.6086956521739131,0.7647058823529411,0.967741935483871,1.0714285714285714,0.5833333333333334,0.8181818181818181,0.9090909090909092,1.0,0.0,0.1111111111111111,3.0,0.923076923076923,0.923076923076923,1.0,0.96078431372549,0.25,0.38888888888888895,0.8848458904109592,1.02803738317757,1.3719512195121952,1.239795918367347,0.9726027397260274,1.0246913580246917,0.9355361192095888,0.704932404374106,0.2,1.1528239202657806,1.5625,0.8293838862559242,0.9517241379310344,1.0874439461883407,0.7482548883536759,1.0555555555555556,0.8848458904109591,1.0280373831775702,1.371951219512195,1.239795918367347,0.9726027397260272,1.0246913580246912,0.9355361192095888,0.7049324043741061,0.2,1.1528239202657808,1.5625,0.8293838862559242,0.9517241379310344,1.087443946188341,0.7482548883536759,1.0555555555555556,0.8848458904109591,1.0280373831775702,1.371951219512195,1.2397959183673468,0.9726027397260274,1.0246913580246912,0.9355361192095886,0.7049324043741061,0.2,1.1528239202657806,1.5625,0.8293838862559242,0.9517241379310344,1.0874439461883407,0.7482548883536759,1.0555555555555556,6,20,2020,4,0,1.0,0.0,5.0,0.9565217391304348,1.794007490636704,,7.0,1.0,4.33,3.6,1.8,1.2,1.62,2.5,4.5,2.3,1.53,1.91,1.29,1.2,2,0.07053426348209083,0.6803007519554574,0.24916498456245184
